Rank,Team,Wins,Losses,Win_Percentage,Defensive_Rating,Avg_Age,Avg_Age_perMinute,Minutes_Continuity,Total_Cap_Allocated,Active_Cap,Luxury_Tax_Bill,Active_Top3_Cap,Top3_Salary_Share,Dead_Cap,Dead_Money_Share,Season
1,OKC,68,14,0.829268293,107.5,24.2,25.5,79,166001694,162209242,0.0,82859950,0.589381384,3792452,0.026975645,2025
2,CLE,64,18,0.780487805,112.2,26.0,27.0,92,178212347,169371096,0.0,93832409,0.667428294,491175,0.003493719,2025
3,BOS,61,21,0.743902439,111.1,27.5,27.2,97,197048229,193098445,66664570.0,114054140,0.811265115,0,0.0,2025
4,HOU,52,30,0.634146341,110.8,25.7,26.6,92,173496349,161552948,0.0,78702108,0.559806726,7768363,0.055256231,2025
5,NYK,51,31,0.62195122,114.3,26.5,29.1,57,188877651,188001268,14976511.0,110803733,0.788145026,876383,0.006233697,2025
6,LAL,50,32,0.609756098,114.7,27.7,27.2,71,200785985,182745885,26081424.0,108760785,0.773613573,5514986,0.039228,2025
7,DEN,50,32,0.609756098,116.0,26.0,28.8,86,192786656,182574315,41400249.0,123292088,0.876974479,0,0.0,2025
8,LAC,50,32,0.609756098,110.3,27.7,31.8,67,174670238,166986734,0.0,102101025,0.726242816,3733720,0.026557885,2025
9,IND,50,32,0.609756098,114.3,25.7,26.3,92,171232577,166839774,0.0,104281300,0.741751074,2530538,0.017999673,2025
10,MIN,49,33,0.597560976,111.5,26.1,28.6,73,236725861,198847571,105876260.0,119077906,0.847002632,3705899,0.026359995,2025
11,GSW,48,34,0.585365854,111.7,27.2,30.0,71,199518342,176474440,0.0,128667036,0.91520639,306447,0.002179752,2025
12,MIL,48,34,0.585365854,113.4,26.7,27.9,66,195746447,183221333,53991623.0,122031412,0.868007312,0,0.0,2025
13,MEM,48,34,0.5853658536585366,113.0,24.6,25.9,76,167814933,155850296,0.0,95988718,0.682766082,8014853,0.05700951,2025
14,DET,44,38,0.536585366,113.1,25.0,26.2,51,141808220,133989678,0.0,56559037,0.4023034469513756,7818542,0.0556131533274532,2025
15,ORL,41,41,0.5,109.6,25.3,25.0,77,152959238,152959238,0.0,63257000,0.4499459413321194,0,0.0,2025
16,ATL,40,42,0.4878048780487805,115.7,25.3,25.0,58,174418704,161255749,0.0,81912604,0.5826429282726833,7125652,0.0506846388027427,2025
17,SAC,40,42,0.4878048780487805,116.2,27.4,30.5,67,171370782,166101303,0.0,107131940,0.76202762682448,1319695,0.0093869675932512,2025
18,DAL,39,43,0.4756097560975609,116.0,26.8,26.4,51,187147472,172077663,0.0,99092456,0.7048429168919111,2328828,0.0165649130793524,2025
19,CHI,39,43,0.4756097560975609,115.6,24.6,25.9,59,168006873,157180244,0.0,59395348,0.4224780777875779,8739110,0.06216113750818,2025
20,MIA,37,45,0.4512195121951219,112.9,26.6,26.9,74,179350729,173088172,13636897.0,90125126,0.6410584544911372,0,0.0,2025
21,PHX,36,46,0.4390243902439024,119.3,28.1,27.6,58,228464502,210557299,188303809.0,150588751,1.0711351679944234,3814041,0.0271292073292172,2025
22,POR,36,46,0.4390243902439024,114.7,23.9,26.1,82,176848446,165518581,0.0,89691087,0.6379711426295274,1568032,0.0111533843571286,2025
23,SAS,34,48,0.4146341463414634,107.0,25.2,25.8,60,162809380,155231927,0.0,83196166,0.5917728824650752,7577453,0.0538982914615756,2025
24,TOR,30,52,0.3658536585365853,114.8,24.9,25.3,60,178496026,154302912,0.0,94310843,0.6708313867470908,16405595,0.1166927120380117,2025
25,BKN,26,56,0.317073171,115.8,23.8,24.6,69,178836132,112077151,0.0,69311624,0.493012377,58408905,0.415461526,2025
26,PHI,24,58,0.2926829268292683,118.2,26.6,25.5,38,170340647,169548876,9663477.0,135768738,0.9657206731726748,791771,0.0056318533587503,2025
27,NOP,21,61,0.2560975609756097,119.9,24.3,24.6,49,182966321,167934095,0.0,98876138,0.7033042507184112,2715108,0.019312515933081,2025
28,CHA,19,63,0.231707317,116.6,25.2,24.4,56,167423486,152436862,0.0,80445913,0.572210381,14986624,0.1066,2025
29,WAS,18,64,0.219512195,119.1,24.5,24.7,51,211677970,162581956,0.0,83151786,0.591457198,7021331,0.049942605,2025
30,UTA,17,65,0.207317073,120.4,23.9,25.2,64,154114022,142648013,0.0,86906400,0.618163712,11466009,0.081557523,2025